name,leaid1,leaid2,prediction
john thompson,504930,2906480,0
michael dean,500079,4800124,0
dave wilcox,510620,4846200,1
john thompson,504930,1301230,0
darrell smith,514430,1930720,0
ralph carter,507920,4827630,1
david smith,504980,1304140,0
james bridges,512180,618840,0
kevin brown,600013,4005910,0
marla stephenson,601860,4104700,1
debra kaplan,642000,3609120,1
kathleen mcnamara,600048,2604350,0
anthony smith,628050,3904408,0
brett nelson,607170,2004890,0
lisa gonzales,631470,4833360,0
charles martin,608520,4833010,0
patricia garcia,905190,3611970,1
william collins,902880,3622440,1
marion martinez,901260,3604870,1
deborah wheeler,902220,4224390,1
william silver,902070,3617220,1
colleen murray,900240,3409180,1
bruce douglas,900700,4006330,0
carol birks,902790,4205860,1
doreen fuller,905190,629280,0
robert edwards,1201020,3608460,0
william boyd,1200030,4815540,0
robert edwards,1201020,500065,0
david miller,1201950,624750,0
brian binggeli,1200150,4835100,1
william boyd,1200030,4825560,0
kenneth brown,1201200,4811040,0
william boyd,1200030,4812090,0
john thompson,1301230,626910,0
frederick williams,1301870,3410050,0
kenneth hall,1301920,4815600,0
louis moore,1303240,3413750,0
robert winter,1302400,3176470,0
david lewis,1303870,3904445,0
charles holloway,1302880,4842870,1
kenneth moore,1300254,504560,0
charles wilson,1300630,3629040,0
dennis peters,1916140,3172480,1
vincent smith,1917250,3413290,1
lynn johnson,1913500,3104950,1
james dick,1900028,3904684,1
quintin shepherd,1917220,4834830,1
david smith,1927000,5103060,0
robert miller,1900021,3610530,0
randy freeman,1931680,2011700,1
quintin shepherd,1917220,4844150,1
donald achelpohl,1730200,1911340,1
attila weninger,1729280,5514490,1
charles martin,1742960,4842120,0
john arrington,1738970,4808730,0
mike ward,1700113,2011400,0
samuel light,1719960,1303330,1
james jones,1710340,504680,0
daniel lukich,1730420,5102160,1
john thomas,1800690,3904941,0
lynn johnson,1807800,3104950,0
robert mahon,1813050,3409420,0
thomas taylor,1804350,5103660,0
john thomas,1800690,1731140,0
michael bennett,1800104,3612870,0
michael jones,1811220,4845000,0
robert taylor,1805790,3700390,0
wayne burke,2011850,2925330,1
janet neufeld,2003960,4023580,1
michael waters,2004800,3100095,1
john barrett,2011190,4012000,1
charles edmonds,2006540,4702100,0
scott springston,2012510,2923550,1
david flowers,2007620,4824000,0
robert winter,2011370,3100016,?
mark evans,2003360,3174820,1
michael murray,2633360,3702340,0
michael wallace,2632640,2923370,0
james baker,2618990,3413560,0
brian metcalf,2616410,1800045,1
john walker,2634440,4014370,0
michael gaunt,2608880,5508730,?
john walker,2634440,3616980,0
shawn olson,2618360,1721270,0
thomas parker,2612930,4202280,1
pamela morris,2600019,4822320,0
michael miller,2923640,3609900,0
richard page,2921810,506840,1
john reed,2929490,902910,0
david haggard,2921940,1912750,0
larry brown,2920310,3905055,0
william jones,2922920,4833060,0
kevin smith,2918670,3904535,0
gary drummond,2925290,1925620,?
stewart weinberg,2917820,4207230,1
heath morrison,3702970,4831260,1
michael perry,3702160,5103980,1
maria pitre martin,3704500,5102910,1
thomas little,3705070,1808820,0
michael freeman,3700180,507170,0
steven hill,3700360,5515870,0
donald andrews,3703780,4700900,1
david lewis,3704880,1701424,0
tony watlington,3704050,4218990,1
paul hillyer,3105340,4111610,1
randy nelson,3174430,5507530,0
tucker lillis,3174760,1919740,1
sandra dop,3162730,1911040,1
jeffery smith,3174640,5101800,0
richard stephens,3102820,4825230,0
frank harwood,3103810,2005490,1
james haley,3178940,4834550,0
james grube,3408580,3904697,0
joseph ricca,3404170,3610650,1
matthew block,3408820,3603180,1
john ramos,3415330,4813170,0
earl kim,3410590,904320,1
michael jones,3406600,4816500,0
robert walker,3416870,3904633,0
john davis,3413380,4832910,0
joseph ricca,3404170,3631260,1
michael mcmahon,3630270,5512000,0
robert young,3611970,2005760,0
john williams,3602940,1811190,0
daniel george,3627660,2600207,1
christopher brown,3630630,607440,0
mark crawford,3630780,2006570,0
richard brockel,3612960,3407350,1
donald wheeler,3603810,4203840,1
geoffrey gordon,3623580,3413980,1
john weaver,3904627,4008040,0
jack thompson,3904790,4100990,0
mark scott,3904617,1727780,0
andrew jackson,3904736,1811190,1
jack thompson,3904790,4109960,0
donald barnes,3904774,2609150,1
terry martin,3904517,4111970,0
scott davis,3904676,4826610,0
david gray,3904664,2612810,0
mylo miller,4000784,2008130,1
mike davis,4018390,4703600,0
james white,4023970,2923780,0
john weaver,4008040,2624180,0
lisa weaver,4031860,1731860,0
dudley hume,4032130,514400,1
chad hall,4017580,2904980,0
chris ballenger,4015750,5103870,1
jim howard,4111610,2007530,0
kevin miller,4113490,3904800,0
a katrise perera,4106000,4826670,1
brian shumate,4108040,1300001,1
jim howard,4111610,2004830,0
mike scott,4100023,4800159,0
michael johnson,4103690,5504050,0
michael johnson,4103690,514500,0
kevin miller,4113490,2608160,0
donald martin,4210350,3703210,0
patrick hefflin,4211160,619110,1
john allison,4216110,4825260,1
patricia green,4217010,2602820,1
bryan mcgraw,4217310,2916190,1
michael thomas,4215570,1200450,0
ian roberts,4215330,1908970,1
william miller,4224030,2622980,0
donald lee,4221200,4812090,0
john thomas,4701680,1800690,0
justin robertson,4701590,512060,0
james jones,4703450,500076,0
kriner cash,4700148,3605850,1
michael davis,4701680,3618080,0
mike jones,4701230,4011430,0
eric williams,4704490,4814280,0
verna ruffin,4702580,904830,1
millard house,4703030,4823640,1
brad cox,4814490,1725620,0
walter key,4838760,503770,1
thomas anderson,4838970,901260,0
todd smith,4809200,2925140,0
karen garza,4828500,5101260,1
billy williams,4843110,514400,0
billy adams,4807620,508640,0
larry davis,4812750,2925530,0
robert young,4821750,2011610,0
david smith,5103060,4004950,0
john reynolds,5103370,4833690,0
john reynolds,5103370,4821090,0
michael murphy,5100870,506420,0
randy bridges,5103660,3702640,1
patrick murphy,5100270,1726760,0
toni jones,5101290,901710,1
greg brown,5103420,4834650,0
eric jones,5103030,4702580,0
donald johnson,5509510,3170650,0
mark johnson,5500061,640150,0
michael johnson,5504050,514500,0
daryl herrick,5502460,1719080,1
vickie cartwright,5511190,1200180,1
john eyerly,5516440,1912480,1
terry hemann,5509660,1926910,1
robert morelan,5500045,1725690,1
